# HIGGS + TOP BRANCHING RATIOS IN SLHA FORMAT
# Info about decay package
BLOCK DCINFO   # Program information
     1   NMSSMTools # Decay package
     2   4.1.2      # Version number
#           PDG          Width
DECAY        25     3.84584919E-02   # Lightest neutral Higgs scalar
     2.00345571E-03    2     1000022        36   # BR(~chi_50 -> ~chi_10   A_1 )
     8.96957291E-04    2     1000023        25   # BR(~chi_50 -> ~chi_20   H_1 )
     7.03802831E-05    2     1000023        35   # BR(~chi_50 -> ~chi_20   H_2 )
     4.14434413E-05    2     1000023        36   # BR(~chi_50 -> ~chi_20   A_1 )
     1.08395820E-01    2     1000025        25   # BR(~chi_50 -> ~chi_30   H_1 )
     3.24653432E-02    2     1000025        35   # BR(~chi_50 -> ~chi_30   H_2 )
     3.04883302E-03    2     1000025        36   # BR(~chi_50 -> ~chi_30   A_1 )
     3.28353294E-03    2     1000011       -11   # BR(~chi_50 -> ~e_L-     e+)
     3.28353294E-03    2    -1000011        11   # BR(~chi_50 -> ~e_L+     e-)
     1.14663133E-03    2     2000011       -11   # BR(~chi_50 -> ~e_R-     e+)
     1.14663133E-03    2    -2000011        11   # BR(~chi_50 -> ~e_R+     e-)
     3.28353294E-03    2     1000013       -13   # BR(~chi_50 -> ~mu_L-    mu+)
     3.28353294E-03    2    -1000013        13   # BR(~chi_50 -> ~mu_L+    mu-)
     1.14663133E-03    2     2000013       -13   # BR(~chi_50 -> ~mu_R-    mu+)
     1.14663133E-03    2    -2000013        13   # BR(~chi_50 -> ~mu_R+    mu-)
     1.33859845E-03    2     1000015       -15   # BR(~chi_50 -> ~tau_1-   tau+)
     1.33859845E-03    2    -1000015        15   # BR(~chi_50 -> ~tau_1+   tau-)
     3.25869676E-03    2     2000015       -15   # BR(~chi_50 -> ~tau_2-   tau+)
     3.25869676E-03    2    -2000015        15   # BR(~chi_50 -> ~tau_2+   tau-)
     8.54014773E-03    2     1000012       -12   # BR(~chi_50 -> ~nu_eL    nu_eb)
     8.54014773E-03    2    -1000012        12   # BR(~chi_50 -> ~nu_eL*   nu_e )
     8.54014773E-03    2     1000014       -14   # BR(~chi_50 -> ~nu_muL   nu_mub)
     8.54014773E-03    2    -1000014        14   # BR(~chi_50 -> ~nu_muL*  nu_mu )
     8.54014773E-03    2     1000016       -16   # BR(~chi_50 -> ~nu_tau1  nu_taub)
     8.54014773E-03    2    -1000016        16   # BR(~chi_50 -> ~nu_tau1* nu_tau )
#         PDG            Width
DECAY   1000021     8.31338165E-03   # gluino
#                    gluino 2-body decays
#          BR         NDA      ID1       ID2
     1.94403526E-03    2     1000022        21   # BR(~g -> ~chi_10 g)
     8.47781632E-05    2     1000023        21   # BR(~g -> ~chi_20 g)
     1.16247231E-03    2     1000025        21   # BR(~g -> ~chi_30 g)
     8.51412417E-04    2     1000035        21   # BR(~g -> ~chi_40 g)
     1.29233218E-03    2     1000045        21   # BR(~g -> ~chi_50 g)
#                    gluino 3-body decays
#           BR         NDA      ID1       ID2       ID3
     8.63359800E-03    3     1000022         1        -1   # BR(~g -> ~chi_10 d  db)
