   mDM     x      nu            b             tau           c             q             t             Z             W
   50.     0.18   0.0818373     0.292853      0.712643      0.118435      0.000321246   0             0             0
   50.     0.19   0.0799165     0.266062      0.704806      0.106839      0.000259263   0             0             0
   50.     0.2    0.0779987     0.241753      0.697015      0.0961918     0.000209633   0             0             0
   50.     0.21   0.0763719     0.219492      0.689026      0.0863559     0.000169497   0             0             0
   50.     0.22   0.0745475     0.199268      0.681084      0.0773814     0.00013701    0             0             0
   50.     0.23   0.0727272     0.180883      0.673242      0.0692092     0.000110625   0             0             0
   50.     0.24   0.0711599     0.164162      0.665487      0.0617891     0             0             0             0
   50.     0.25   0.069573      0.14893       0.657749      0.0550613     0             0             0             0
   50.     0.26   0.067943      0.134958      0.649523      0.0489405     0             0             0             0
   50.     0.27   0.0664428     0.122217      0.641336      0.0434145     0             0             0             0
   50.     0.28   0.0650076     0.110608      0.633159      0.038441      0             0             0             0
   50.     0.29   0.0635793     0.100024      0.625011      0.0339712     0             0             0             0
   50.     0.3    0.0621228     0.0903719     0.616909      0.0299609     0             0             0             0
   50.     0.31   0.0608108     0.0815847     0.608956      0.026377      0             0             0             0
   50.     0.32   0.0595523     0.0735408     0.600564      0.0231671     0             0             0             0
   50.     0.33   0.0583133     0.06619       0.591915      0.0202997     0             0             0             0
   50.     0.34   0.0569863     0.059498      0.583276      0.0177524     0             0             0             0
   50.     0.35   0.0557363     0.0534087     0.574657      0.0154916     0             0             0             0
   50.     0.36   0.0546317     0.047872      0.566058      0.0134899     0             0             0             0
   50.     0.37   0.0535226     0.0428435     0.55748       0.0117241     0             0             0             0
   50.     0.38   0.0524278     0.0382768     0.548904      0.0101647     0             0             0             0
   50.     0.39   0.0513306     0.0341452     0.540461      0.00879917    0             0             0             0
   50.     0.4    0.050279      0.0303895     0.531651      0.00759494    0             0             0             0
   50.     0.41   0.0493314     0.0269839     0.522522      0.00654002    0             0             0             0
   50.     0.42   0.0483904     0.0239086     0.513388      0.00561788    0             0             0             0
   50.     0.43   0.0474362     0.0211378     0.504253      0.00481561    0             0             0             0
   50.     0.44   0.046529      0.0186452     0.495128      0.00411815    0             0             0             0
   50.     0.45   0.0456887     0.0164077     0.486004      0.00351424    0             0             0             0
   50.     0.46   0.0448742     0.0144012     0.476866      0.00299119    0             0             0             0
   50.     0.47   0.0440946     0.0126083     0.467716      0.00254152    0             0             0             0
   50.     0.48   0.0433317     0.0110046     0.458579      0.00215223    0             0             0             0
   50.     0.49   0.0425856     0.0095824     0.449497      0.00182158    0             0             0             0
   50.     0.5    0.0418546     0.00831102    0.44021       0.00153446    0             0             0             0
   50.     0.51   0.0411702     0.00718973    0.430634      0.00129288    0             0             0             0
   50.     0.52   0.0405032     0.006193      0.421016      0.00108419    0             0             0             0
   50.     0.53   0.0398627     0.00531947    0.41138       0.000908709   0             0             0             0
   50.     0.54   0.0392468     0.00455184    0.401736      0.000759904   0             0             0             0
   50.     0.55   0.0386449     0.00387588    0.392091      0.000632497   0             0             0             0
   50.     0.56   0.0381092     0.00329472    0.382456      0.000528284   0             0             0             0
   50.     0.57   0.037583      0.00278305    0.372813      0.000438455   0             0             0             0
   50.     0.58   0.0370718     0.00234318    0.363171      0.000364084   0             0             0             0
   50.     0.59   0.0365762     0.00196467    0.353526      0.000302257   0             0             0             0
   50.     0.6    0.0360889     0.00163498    0.343879      0.000249382   0             0             0             0
   50.     0.61   0.0356559     0.00135939    0.334307      0.000206971   0             0             0             0
   50.     0.62   0.0352458     0.00112211    0.324676      0.000171147   0             0             0             0
   50.     0.63   0.0348421     0.00091763    0.314955      0.000140651   0             0             0             0
   50.     0.64   0.0344632     0.000751502   0.305061      0.000116732   0             0             0             0
   50.     0.65   0.0340921     0.00060876    0.295172      0             0             0             0             0
   50.     0.66   0.0337267     0.000487304   0.285302      0             0             0             0             0
   50.     0.67   0.033426      0.000392316   0.275443      0             0             0             0             0
   50.     0.68   0.0331342     0.000311363   0.265617      0             0             0             0             0
   50.     0.69   0.0328466     0.00024321    0.255825      0             0             0             0             0
   50.     0.7    0.0325793     0.000191605   0.24606       0             0             0             0             0
   50.     0.71   0.0323194     0.00014874    0.236337      0             0             0             0             0
   50.     0.72   0.0320631     0.000112943   0.226656      0             0             0             0             0
   50.     0.73   0.0318403     0             0.217007      0             0             0             0             0
   50.     0.74   0.0316442     0             0.207404      0             0             0             0             0
   50.     0.75   0.0314508     0             0.197858      0             0             0             0             0
   50.     0.76   0.0312654     0             0.188372      0             0             0             0             0
   50.     0.77   0.0311146     0             0.178945      0             0             0             0             0
   50.     0.78   0.0309658     0             0.169571      0             0             0             0             0
   50.     0.79   0.0308189     0             0.160247      0             0             0             0             0
   50.     0.8    0.0307142     0             0.150908      0             0             0             0             0
   50.     0.81   0.0306415     0             0.141627      0             0             0             0             0
   50.     0.82   0.0305696     0             0.132468      0             0             0             0             0
   50.     0.83   0.0304986     0             0.123427      0             0             0             0             0
   50.     0.84   0.0304665     0             0.114433      0             0             0             0             0
   50.     0.85   0.0304429     0             0.105587      0             0             0             0             0
   50.     0.86   0.0304195     0             0.0969052     0             0             0             0             0
   50.     0.87   0.0303964     0             0.0883825     0             0             0             0             0
   50.     0.88   0.0304006     0             0.0798808     0             0             0             0             0
   50.     0.89   0.0304077     0             0.0716061     0             0             0             0             0
   50.     0.9    0.0304147     0             0.0635703     0             0             0             0             0
   50.     0.91   0.0304216     0             0.0557665     0             0             0             0             0
   50.     0.92   0.030447      0             0.0478009     0             0             0             0             0
   50.     0.93   0.0304769     0             0.0402126     0             0             0             0             0
   50.     0.94   0.0305064     0             0.0331132     0             0             0             0             0
